name,position,class_year,school,external_id,scoring_date,draft_round,overall_pick,nfl_team,pass_play_usage,best_pass_play_usage,receiving_ppa,career_receiving_ppa,best_receiving_ppa,rushing_ppa,career_rushing_ppa,best_rushing_ppa,career_yprr,best_yprr,target_share,receiving_yard_share,age_at_draft,early_declare,ras,bmi,speed_score,recruiting_rating,conference_strength,scrimmage_yards_per_game,rushing_yard_share,yards_after_contact_per_attempt,missed_tackles_per_attempt,receptions_per_game,receiving_yprr
Devin Neal,RB,2025,Kansas,00-0040202,2025-04-30,6,184,NOR,0.086,0.1,0.406,0.264,0.406,0.312,0.20950000000000002,0.312,,,,0.10139720558882236,22,,,29.704225352112676,96.81612294411421,0.8888,85,126.66666666666667,0.49395239953179865,,,2,
Kalel Mullings,RB,2025,Michigan,00-0040205,2025-04-30,6,188,TEN,0.023,0.023,0.238,1.023,1.855,0.27,0.20433333333333334,0.306,,,,0.020858164481525627,22,,,29.013513513513512,,0.9329,100,81.91666666666667,0.46153846153846156,,,0.5,
Tahj Brooks,RB,2025,Texas Tech,00-0040208,2025-04-30,6,193,CIN,0.07,0.07,0.366,0.16299999999999998,0.381,0.187,0.2232,0.342,,,,0.04854368932038835,23,,,31.598823776517538,102.5392247838958,0.873,85,140.83333333333334,0.6964368347987043,,,2.25,
Damien Martinez,RB,2025,Miami (FL),00-0040651,2025-04-30,7,223,SEA,0.039,0.044,0.89,0.3583333333333334,0.89,0.318,0.2376666666666667,0.318,,,,0.04506295559973492,21,,,29.427276234567902,104.90195017499383,0.8781,80,100.5,0.4059967585089141,,,1.4166666666666667,
Brashard Smith,RB,2025,SMU,00-0040078,2025-04-30,7,228,KAN,0.102,0.102,0.452,0.702,1.032,0.174,0.20699999999999996,0.495,,,,0.09058171745152355,22,,,27.833061224489796,104.46568217840361,0.9198,85,127.46153846153847,0.5555555555555556,,,3,
Kyle Monangai,RB,2025,Rutgers,00-0040236,2025-04-30,7,233,CHI,0.042,0.042,0.081,0.20799999999999996,0.416,0.109,0.11825,0.179,,,,0.027818991097922848,23,,,32.078935986159166,94.24994907822659,0.8267,100,112.83333333333333,0.5532006920415224,,,1.1666666666666667,
LeQuint Allen,RB,2025,Syracuse,00-0040238,2025-04-30,7,236,JAX,0.118,0.124,0.502,0.41133333333333333,0.547,0.073,0.113,0.253,,,,0.10997920997920999,21,,,27.66435185185185,,0.8639,85,129.16666666666666,0.7902476780185759,,,5.333333333333333,
Phil Mafah,RB,2025,Clemson,00-0040021,2025-04-30,7,239,DAL,0.049,0.059,-0.187,-0.048,0.207,0.14,0.14450000000000002,0.237,,,,0.02641703000769428,22,,,30.869206230061927,,0.9237,85,93.6923076923077,0.4575297496922446,,,1.6153846153846154,
Jacory Croskey-Merritt,RB,2025,Arizona,00-0040242,2025-04-30,7,245,WAS,,,,,,,,,,,,,24,,,,,,,,,,,,
Travis Hunter,WR,2025,Colorado,00-0040718,2025-04-30,1,2,JAX,0.194,0.194,1.044,0.916,1.061,0.59,-0.6795,0.59,,,,0.3043057571359458,22,,,,,0.9999,,105.25,0.005780346820809248,,,8,
Tetairoa McMillan,WR,2025,Arizona,00-0040124,2025-04-30,1,8,CAR,0.198,0.23,1.385,1.3393333333333333,1.402,-0.922,-0.5365,-0.151,,,,0.4433613445378151,22,,,26.654605263157894,,0.9779,80,109.91666666666667,,,,7,
Emeka Egbuka,WR,2025,Ohio St.,00-0040129,2025-04-30,1,19,TAM,0.196,0.243,0.927,0.9787499999999999,1.381,-0.259,0.041666666666666664,0.741,,,,0.24025665399239543,22,,,26.647776318258586,,0.9945,100,87,0.012322628827483197,,,6.75,
Matthew Golden,WR,2025,Texas,00-0040667,2025-04-30,1,23,GNB,0.131,0.131,1.064,0.989,1.078,,,,,,,0.22380952380952382,22,,,26.636183296964887,112.78054635906297,0.9181,65,75.92307692307692,,,,4.461538461538462,
Jayden Higgins,WR,2025,Iowa St.,00-0040130,2025-04-30,2,34,HOU,0.217,0.217,1.135,1.1113333333333333,1.296,,,,,,,0.3304469273743017,22,,,26.04605263157895,107.20466313325164,,,91,,,,6.6923076923076925,
Luther Burden,WR,2025,Missouri,00-0040735,2025-04-30,2,39,CHI,0.161,0.226,0.887,0.8039999999999999,1.052,0.807,0.47233333333333344,0.807,,,,0.22839506172839505,21,,,27.93557098765432,108.92883482649182,0.9974,100,65.91666666666667,0.057816836262719704,,,5,
Tre Harris,WR,2025,Mississippi,00-0040727,2025-04-30,2,55,LAC,0.232,0.232,1.057,0.9794,1.292,0.073,-0.23,0.073,,,,0.2330629247971936,23,,,,,0.8181,55,88.58333333333333,,,,5.083333333333333,
Cleveland Harris,WR,2025,Mississippi,HarrTr03,2025-04-30,2,55,Los Angeles Chargers,,,,,,,,,,,,,,,,26.31756756756757,96.50736218172179,,,,,,,,
Jack Bech,WR,2025,TCU,00-0040729,2025-04-30,2,58,LVR,0.176,0.176,0.984,0.718,0.996,-1.61,-1.61,-1.61,,,,0.25417895771878074,22,,,28.23081253518484,,0.8967,100,86.75,0.0046022353714661405,,,5.166666666666667,
Kyle Williams,WR,2025,Washington St.,00-0040131,2025-04-30,3,69,NWE,0.177,0.235,1.403,0.7445,1.403,0.075,-0.4163333333333334,0.641,,,,0.3324045695179716,22,,,26.496726839912714,101.38480978075265,0.8611,80,104.16666666666667,0.02607502287282708,,,5.833333333333333,
Isaac TeSlaa,WR,2025,Arkansas,00-0040669,2025-04-30,3,70,DET,0.089,0.136,1.418,0.9235,1.418,0.332,0.332,0.332,,,,0.15270383861025497,23,,,26.04605263157895,111.12937302232874,,100,45.416666666666664,,,,2.3333333333333335,
Pat Bryant,WR,2025,Illinois,00-0040134,2025-04-30,3,74,DEN,,,,,,,,,,,,,22,,,26.18918918918919,90.33508583022707,0.8556,,,,,,,
Jaylin Noel,WR,2025,Iowa St.,00-0040138,2025-04-30,3,79,HOU,0.186,0.195,0.984,0.75875,0.984,0.018,-0.09166666666666667,0.11,,,,0.3335195530726257,23,,,27.833061224489796,104.46568217840361,0.863,85,94.76923076923077,0.016881386050644157,,,6.230769230769231,
Savion Williams,WR,2025,TCU,00-0040009,2025-04-30,3,87,GNB,0.165,0.165,0.741,0.5076,0.886,0.583,0.2825,0.583,,,,0.15019665683382497,23,,,27.019736842105264,110.2226667233379,0.8869,85,77.75,0.21170282708744248,,,5,
Tai Felton,WR,2025,Maryland,00-0040154,2025-04-30,3,102,MIN,0.205,0.205,0.948,0.8755,1.016,0.774,0.199,0.774,,,,0.33978234582829503,22,,,24.14130230812535,100.35877174776616,0.8567,100,95.58333333333333,0.01696165191740413,,,8,
Chimere Dike,WR,2025,Florida,00-0040705,2025-04-30,4,103,TEN,0.158,0.181,0.888,0.7969999999999999,1.25,0.431,0.3893333333333333,0.577,,,,0.2668711656441718,23,,,25.85625820979546,110.49106227853035,0.8763,100,65.25,,,,3.5,
Dont'e Thornton,WR,2025,Tennessee,00-0040581,2025-04-30,4,108,LVR,0.087,0.101,1.682,1.1573333333333333,1.682,0.773,0.773,0.773,,,,0.22991304347826086,22,,,24.306797099004893,119.92508484699754,0.9719,80,55.083333333333336,,,,2.1666666666666665,
Arian Smith,WR,2025,Georgia,00-0040582,2025-04-30,4,110,NYJ,0.107,0.107,0.953,1.3482,2.353,0.481,0.49224999999999997,2.641,,,,0.20673076923076922,23,,,24.274112654320987,99.06883810989855,0.9722,100,67,0.030716723549488054,,,3.6923076923076925,
Jaylin Lane,WR,2025,Virginia Tech,00-0040164,2025-04-30,4,128,WAS,0.125,0.178,0.916,0.7666000000000001,0.916,0.352,0.3205,0.773,,,,0.1892770105605199,23,,,,,0.8293,55,48.5,0.04982817869415808,,,3.1666666666666665,
Joshua Lane,WR,2025,Virginia Tech,LaneJa00,2025-04-30,4,128,Washington Commanders,,,,,,,,,,,,,,,,27.40265306122449,107.67241273060866,0.7944,,,,,,,
Jalen Royals,WR,2025,Utah St.,00-0040646,2025-04-30,4,133,KAN,0.191,0.191,1.288,1.2770000000000001,1.288,-0.296,-0.296,-0.296,,,,0.258284298544441,22,,,27.799961419753085,107.42238226371815,,65,69.75,0.00125,,,4.583333333333333,
Elic Ayomanor,WR,2025,Stanford,00-0040170,2025-04-30,4,136,TEN,0.194,0.194,0.966,1.0699999999999998,1.174,-0.964,-0.964,-0.964,,,,0.36209150326797385,22,,,26.445945945945947,106.01451615146095,0.8633,80,69.25,,,,5.25,
Jordan Watkins,WR,2025,Mississippi,00-0040172,2025-04-30,4,138,SFO,0.161,0.166,1.009,0.8817999999999999,1.009,0.397,0.911,2.866,,,,0.19864064898048672,23,,,,,0.863,85,77.16666666666667,0.008729812309035356,,,4.083333333333333,
KeAndre Lambert-Smith,WR,2025,Auburn,00-0040184,2025-04-30,5,158,LAC,,,,,,,,,,,,,23,,,25.064740101332333,104.19763186926541,0.9198,,,,,,,
Tory Horton,WR,2025,Colorado St.,00-0040648,2025-04-30,5,166,SEA,0.161,0.225,1.196,0.9846,1.196,-1.156,0.05049999999999999,1.257,,,,0.11745919091554294,22,,,24.495644444444444,103.64102731064271,0.8089,65,29.416666666666668,0.009773434029320302,,,2.0833333333333335,
LaJohntay Wester,WR,2025,Colorado,00-0040075,2025-04-30,6,203,BAL,0.151,0.337,1.116,0.7036,1.116,-1.089,-0.18159999999999998,0.234,,,,0.22520561199806483,23,,,23.385510204081633,82.3906947895119,,55,77.58333333333333,0,,,6.166666666666667,
Jimmy Horn,WR,2025,Colorado,00-0040218,2025-04-30,6,208,CAR,0.107,0.178,0.809,0.658,0.809,-0.288,-0.12300000000000001,0.59,,,,0.10667634252539913,22,,,26.45371972318339,87.95080302684092,0.8622,65,37,0.003468208092485549,,,3.0833333333333335,
Tez Johnson,WR,2025,Oregon,00-0040237,2025-04-30,7,235,TAM,0.207,0.207,0.984,0.806375,1.201,-0.801,0.17357142857142854,1.408,,,,0.22949143879376438,23,,,22.094285714285714,74.44654528547949,0.8417,65,69,-0.0004476275738585497,,,6.384615384615385,
Ricky White,WR,2025,UNLV,00-0040653,2025-04-30,7,238,SEA,0.259,0.279,1.098,0.8347500000000001,1.098,-0.853,-1.1466666666666665,-0.687,,,,0.4306992139015308,23,,,24.273221992869207,81.47870486647932,0.8897,100,80.15384615384616,0.0002881014116969173,,,6.076923076923077,
Kaden Prather,WR,2025,Maryland,PratKa00,2025-04-30,7,240,BUF,0.117,0.158,0.796,0.8760000000000001,1.331,-0.801,-1.0886666666666667,-0.801,,,,0.18863361547763,23,,,24.82894736842105,103.1147345831928,0.9128,85,51.916666666666664,-0.0007374631268436578,,,4.666666666666667,
Konata Mumpfield,WR,2025,Pittsburgh,00-0040590,2025-04-30,7,242,LAR,0.11,0.213,1.245,0.85475,1.245,0.91,0.65,0.91,,,,0.23449668301124893,22,,,25.938901011704026,83.80929699298603,0.8081,55,67.75,,,,4.333333333333333,
Dominic Lovett,WR,2025,Georgia,00-0040241,2025-04-30,7,244,DET,0.149,0.18,0.557,0.66175,1.069,-2.011,-0.5083333333333334,1.143,,,,0.15359311740890688,22,,,26.541836734693877,98.71678847073285,0.8986,100,46.69230769230769,,,,4.538461538461538,
Junior Bergen,WR,2025,Montana,00-0040247,2025-04-30,7,252,SFO,0.159,0.164,0.602,0.7113333333333333,0.905,-0.529,-0.2306666666666667,0.353,,,,0.18741355463347165,,,,,,,,38.857142857142854,0.0007482229704451926,,,3.4285714285714284,
