name,position,class_year,school,external_id,scoring_date,draft_round,overall_pick,nfl_team,pass_play_usage,best_pass_play_usage,receiving_ppa,career_receiving_ppa,best_receiving_ppa,rushing_ppa,career_rushing_ppa,best_rushing_ppa,career_yprr,best_yprr,target_share,receiving_yard_share,age_at_draft,early_declare,ras,bmi,speed_score,recruiting_rating,conference_strength,scrimmage_yards_per_game,rushing_yard_share,yards_after_contact_per_attempt,missed_tackles_per_attempt,receptions_per_game,receiving_yprr
Carnell Tate,WR,2026,Ohio St.,TAT143045,2026-04-30,1,4,TEN,0.19,0.19,1.054,0.8096666666666668,1.054,0.668,0.668,0.668,,,,0.23302263648468707,21,,,,,0.9728,100,68.53846153846153,0.0073059360730593605,,,3.923076923076923,
Jordyn Tyson,WR,2026,Arizona St.,TYS405541,2026-04-30,1,8,NOR,0.31,0.31,0.543,1.0010000000000001,1.233,0.268,-0.6533333333333334,0.268,,,,0.24449793672627235,22,,,,,0.8637,80,59.583333333333336,0.001568627450980392,,,5.083333333333333,
Makai Lemon,WR,2026,USC,LEM694125,2026-04-30,1,20,PHI,0.269,0.269,0.643,0.7476666666666666,1.001,-0.525,-0.525,-0.525,,,,0.3004158004158004,22,,,,,0.9799,80,96.66666666666667,0.001796138302649304,,,6.583333333333333,
KC Concepcion,WR,2026,Texas A&M,CON046719,2026-04-30,1,24,CLE,,,,,,,,,,,,,21,,,,,0.8825,,,,,,,
Omar Cooper Jr.,WR,2026,Indiana,COO816508,2026-04-30,1,30,NYJ,0.22,0.22,0.703,1.2163333333333333,1.885,1.519,1.468,1.519,,,,0.25117616309461577,22,,,,,0.9012,100,79.61538461538461,0.02122168052767422,,,5.384615384615385,
De'Zhaun Stribling,WR,2026,Mississippi,StriDe01,2026-04-30,2,33,SFO,0.131,0.163,0.614,0.9895999999999999,1.277,,,,,,,0.1725531914893617,23,,,,,0.8206,80,67.58333333333333,,,,4.583333333333333,
Denzel Boston,WR,2026,Washington,BOS677861,2026-04-30,2,39,CLE,0.239,0.239,0.622,0.5355,1.29,1.213,1.213,1.213,,,,0.27721837633731905,22,,,,,0.8644,80,73.41666666666667,,,,5.166666666666667,
Germie Bernard,WR,2026,Alabama,BER218265,2026-04-30,2,47,PIT,0.199,0.199,0.563,0.9084999999999999,1.502,0.545,0.31375,1.089,,,,0.21806223121679738,22,,,,,0.9125,100,74.07692307692308,0.06416772554002541,,,4.923076923076923,
Antonio Williams,WR,2026,Clemson,WIL143106,2026-04-30,3,71,WAS,0.199,0.199,0.482,0.6372500000000001,0.855,0.266,0.36233333333333334,1.444,,,,0.17351335823039357,22,,,,,0.9731,85,56.833333333333336,0.048118445404071564,,,4.583333333333333,
Malachi Fields,WR,2026,Notre Dame,FIE775129,2026-04-30,3,74,NYG,0.177,0.208,0.479,0.8306000000000001,1.24,2.59,0.4344999999999999,2.59,,,,0.20581509310682783,23,,,,,0.8296,85,52.5,,,,3,
Caleb Douglas,WR,2026,Texas Tech,DOU210628,2026-04-30,3,75,MIA,0.185,0.185,0.321,0.783,1.128,-1.421,-1.421,-1.421,,,,0.21353228711088243,22,,,,,0.8859,100,63.84615384615385,,,,4.076923076923077,
Zachariah Branch,WR,2026,Georgia,BRA531428,2026-04-30,3,79,ATL,0.221,0.221,0.531,0.5276666666666667,0.636,-0.335,0.29433333333333334,0.755,,,,0.26305546545572495,22,,,,,0.998,80,62.92307692307692,0.0027311744049941474,,,6.230769230769231,
Ja'Kobi Lane,WR,2026,USC,LAN311008,2026-04-30,3,80,BAL,0.191,0.191,0.788,1.324,1.615,,,,,,,0.1936070686070686,22,,,,,0.8941,80,62.083333333333336,,,,4.083333333333333,
Chris Brazzell II,WR,2026,Tennessee,BRA836631,2026-04-30,3,83,CAR,0.204,0.204,0.713,0.8197500000000001,1.233,,,,,,,0.26713947990543735,22,,,,,0.8493,65,84.75,,,,5.166666666666667,
Ted Hurst,WR,2026,Georgia St.,HUR541377,2026-04-30,3,84,TAM,0.27,0.27,0.456,1.0255,1.595,,,,,,,0.32885686210284965,22,,,,,,65,83.66666666666667,,,,5.916666666666667,
Zavion Thomas,WR,2026,LSU,THO417520,2026-04-30,3,89,CHI,0.087,0.159,0.467,0.25525000000000003,0.749,0.246,0.19166666666666665,0.321,,,,0.16353887399463807,21,,,,,0.8926,100,48.916666666666664,0.0721048798252003,,,3.4166666666666665,
Chris Bell,WR,2026,Louisville,BEL267684,2026-04-30,3,94,MIA,0.279,0.279,0.571,0.9317500000000001,1.375,-0.303,-0.303,-0.303,,,,0.3197350069735007,22,,,,,0.8493,85,76.41666666666667,,,,6,
Brenen Thompson,WR,2026,Mississippi St.,THO495568,2026-04-30,4,105,LAC,0.184,0.184,0.955,1.4045,2.281,0.212,0.212,0.212,,,,0.33588272785213513,23,,,,,0.9476,85,89,0.006708193579300431,,,4.75,
Elijah Sarratt,WR,2026,Indiana,SAR527100,2026-04-30,4,115,BAL,0.26,0.26,0.734,1.23,1.516,2.454,2.454,2.454,,,,0.21066387872451647,23,,,,,,,62,,,,4.923076923076923,
Kaden Wetjen,WR,2026,Iowa,WET055619,2026-04-30,4,121,PIT,0.082,0.082,0.064,0.345,0.626,0.282,0.23933333333333331,0.591,,,,0.08113917248790972,24,,,,,,100,19.166666666666668,0.03353140916808149,,,1.6666666666666667,
Skyler Bell,WR,2026,Connecticut,BEL597603,2026-04-30,4,125,BUF,0.321,0.321,0.591,1.1846,3.068,-0.751,0.034999999999999976,0.821,,,,0.34579945799457995,24,,,,,0.8578,100,106.16666666666667,-0.0009237875288683603,,,8.416666666666666,
Bryce Lance,WR,2026,North Dakota St.,LAN016345,2026-04-30,4,136,NOR,0.211,0.211,0.799,0.9323333333333332,1.287,1.54,1.036,1.54,,,,0.3476159793814433,24,,,,,,,90.07692307692308,0.03306973400431344,,,3.923076923076923,
Colbie Young,WR,2026,Georgia,YounCo01,2026-04-30,4,140,CIN,0.125,0.146,0.673,0.8385,0.908,-4.452,-4.452,-4.452,,,,0.11612066169315602,24,,,,,,85,27.53846153846154,,,,2,
Reggie Virgil,WR,2026,Texas Tech,VIR271235,2026-04-30,5,143,ARI,,,,,,,,,,,,,22,,,,,0.8259,,,,,,,
Kendrick Law,WR,2026,Kentucky,LAW090280,2026-04-30,5,168,DET,0.167,0.167,0.308,0.41875,0.598,0.337,0.0685,0.337,,,,0.22286421791167974,23,,,,,0.9629,100,49.416666666666664,0.031604054859868815,,,4.416666666666667,
Cyrus Allen,WR,2026,Cincinnati,ALL092954,2026-04-30,5,176,KAN,0.171,0.171,0.632,1.0565,1.357,0.521,-0.3466666666666667,0.521,,,,0.22058823529411764,23,,,,,0.8589,55,57.833333333333336,0.014699524427150886,,,4.166666666666667,
Kevin Coleman Jr.,WR,2026,Missouri,COL362413,2026-04-30,5,177,MIA,0.216,0.216,0.493,0.734,0.965,-0.138,-0.23875,-0.138,,,,0.2988975091874234,22,,,,,0.9773,,67.33333333333333,0.02526595744680851,,,5.5,
Barion Brown,WR,2026,LSU,BRO268113,2026-04-30,6,190,NOR,0.166,0.186,0.285,0.5325,0.714,0.645,-0.03774999999999998,0.645,,,,0.17828418230563003,,,,,,0.9586,100,47.083333333333336,0.02403495994173343,,,4.416666666666667,
Josh Cameron,WR,2026,Baylor,CAM108646,2026-04-30,6,191,JAX,0.179,0.179,0.453,0.81225,1.48,0.264,-0.20850000000000002,0.264,,,,0.23472409152086138,23,,,,,,85,72.66666666666667,,,,5.75,
Malik Benson,WR,2026,Oregon,BEN601117,2026-04-30,6,195,LVR,0.13,0.13,0.784,0.6826666666666666,0.784,0.203,0.203,0.203,,,,0.18901156677181913,,,,,,,100,59.583333333333336,-0.001326259946949602,,,3.5833333333333335,
CJ Daniels,WR,2026,Miami (FL),DAN490797,2026-04-30,6,197,LAR,0.172,0.28,0.731,1.1254000000000002,1.619,-2.535,-2.535,-2.535,,,,0.13749691434213773,,,,,,0.8115,,46.416666666666664,,,,4.166666666666667,
Emmanuel Henderson Jr.,WR,2026,Kansas,HEN199637,2026-04-30,6,199,SEA,0.208,0.208,0.618,1.083,1.894,-0.088,-0.088,-0.088,,,,0.29015151515151516,,,,,,0.9809,100,65.16666666666667,0.007793472966390648,,,3.75,
CJ Williams,WR,2026,Stanford,WIL189259,2026-04-30,6,203,JAX,0.224,0.224,0.567,0.6982000000000002,1.37,-0.444,-0.022999999999999993,0.398,,,,0.2841591591591592,,,,,,0.9706,65,63.083333333333336,,,,5,
Lewis Bond,WR,2026,Boston Col.,BON235618,2026-04-30,6,204,HOU,0.235,0.235,0.671,0.7654,1.032,-0.123,-0.49166666666666664,-0.123,,,,0.3004164187983343,,,,,,0.8511,85,84.41666666666667,0.0023942537909018356,,,7.416666666666667,
Anthony Smith,WR,2026,East Carolina,SMI038569,2026-04-30,7,218,DAL,0.204,0.204,0.56,0.9262857142857143,1.776,-3.182,-1.0919999999999999,0.304,,,,0.2970380818053597,,,,,,0.8996,85,91.5,0.019371502367628066,,,5.333333333333333,
Deion Burks,WR,2026,Oklahoma,BurkDe02,2026-04-30,7,254,IND,0.18,0.209,0.33,0.7615999999999999,1.551,-0.681,-0.19519999999999998,0.401,,,,0.20327868852459016,23,,,,,0.8644,100,51.416666666666664,-0.0019280205655526992,,,4.75,
